Iteration 0, Loss: 0.516505673613763
Iteration 1, Loss: 0.16064542116363786
Iteration 2, Loss: 0.03743470051580773
Iteration 3, Loss: 0.01216333652895072
Iteration 4, Loss: 0.008417680155766088
Iteration 5, Loss: 0.007191829632401154
Iteration 6, Loss: 0.006472026982588763
Iteration 7, Loss: 0.006007908319605749
Iteration 8, Loss: 0.005684022301404033
Iteration 9, Loss: 0.005447077277755635
Iteration 10, Loss: 0.005273271558020397
Iteration 11, Loss: 0.005146092541864404
Iteration 12, Loss: 0.005050895529388635
Iteration 13, Loss: 0.004978320929501486
Iteration 14, Loss: 0.004923913721682915
Iteration 15, Loss: 0.004882572418195678
Iteration 16, Loss: 0.004850880441904107
Iteration 17, Loss: 0.004826035505063135
Iteration 18, Loss: 0.004805982809704491
Iteration 19, Loss: 0.004789201760610549
Iteration 20, Loss: 0.004775509218620389
Iteration 21, Loss: 0.004764002055946858
Iteration 22, Loss: 0.004754172926877516
Iteration 23, Loss: 0.00474560359340027
Iteration 24, Loss: 0.004738220819605247
Iteration 25, Loss: 0.004731685404591971
Iteration 26, Loss: 0.004725791296443954
Iteration 27, Loss: 0.004720362981010347
Iteration 28, Loss: 0.004715362581066188
Iteration 29, Loss: 0.004710658742230149
Iteration 30, Loss: 0.004706086417498963
Iteration 31, Loss: 0.00470182361313463
Iteration 32, Loss: 0.004698053227091804
Iteration 33, Loss: 0.004694518715408157
Iteration 34, Loss: 0.004691227493900805
Iteration 35, Loss: 0.0046881181317836255
Iteration 36, Loss: 0.0046850593421843695
Iteration 37, Loss: 0.004682122462644731
Iteration 38, Loss: 0.004679396960753608
Iteration 39, Loss: 0.004676816426228359
