Learning rate: 1e-6

Iteration 0, Loss: 0.8837518377855573
Iteration 1, Loss: 0.749392554166753
Iteration 2, Loss: 0.6296749227979431
Iteration 3, Loss: 0.5213771871434331
Iteration 4, Loss: 0.42569992704149834
Iteration 5, Loss: 0.3424528362060749
Iteration 6, Loss: 0.2716522266545574
Iteration 7, Loss: 0.2128465350303291
Iteration 8, Loss: 0.16480232731321331
Iteration 9, Loss: 0.12556990595730014
Iteration 10, Loss: 0.09333126667276251
Iteration 11, Loss: 0.0672355147557359
Iteration 12, Loss: 0.04723407035904637
Iteration 13, Loss: 0.033195115383289744
Iteration 14, Loss: 0.02430787968288421
Iteration 15, Loss: 0.018923266674173968
Iteration 16, Loss: 0.015288847834133161
Iteration 17, Loss: 0.012601258041426687
Iteration 18, Loss: 0.010605949076664378
Iteration 19, Loss: 0.00913011412807325
Iteration 20, Loss: 0.00804454884940548
Iteration 21, Loss: 0.007252864108567311
Iteration 22, Loss: 0.006679150095415208
Iteration 23, Loss: 0.0062664452464624544
Iteration 24, Loss: 0.005968470730139527
Iteration 25, Loss: 0.00574483147126355
Iteration 26, Loss: 0.0055764473270753
Iteration 27, Loss: 0.005447632402539768
Iteration 28, Loss: 0.005346402484247695
Iteration 29, Loss: 0.005265099789249426
Iteration 30, Loss: 0.00519825982932693
Iteration 31, Loss: 0.005142031330726872
Iteration 32, Loss: 0.005095499440558841
Iteration 33, Loss: 0.005055665683058667
Iteration 34, Loss: 0.005021298827486575
Iteration 35, Loss: 0.0049915731051765845
Iteration 36, Loss: 0.004965561740140987
Iteration 37, Loss: 0.004942555929319205
Iteration 38, Loss: 0.004922398680069197
Iteration 39, Loss: 0.004904439232794056
Iteration 40, Loss: 0.004888370407913013
Iteration 41, Loss: 0.0048737807554142835
Iteration 42, Loss: 0.0048605241769531125
Iteration 43, Loss: 0.00484842857715807
Iteration 44, Loss: 0.004837413916178613
Iteration 45, Loss: 0.004826486456159198
Iteration 46, Loss: 0.0048151620163374475
Iteration 47, Loss: 0.004806001798723806
Iteration 48, Loss: 0.00479832917016584
Iteration 49, Loss: 0.004790960704860542
Iteration 50, Loss: 0.004783809049173327
Iteration 51, Loss: 0.004777725627416032
Iteration 52, Loss: 0.004772240387349564
Iteration 53, Loss: 0.004767121000429194
Iteration 54, Loss: 0.004762390570226339
Iteration 55, Loss: 0.004757951657188576
Iteration 56, Loss: 0.004753839607045784
Iteration 57, Loss: 0.004749965090016691
Iteration 58, Loss: 0.00474634556224037
Iteration 59, Loss: 0.0047429439827029254
Iteration 60, Loss: 0.004739765547818226
Iteration 61, Loss: 0.004736899230041165
Iteration 62, Loss: 0.0047341611069739754
Iteration 63, Loss: 0.00473159881287114
Iteration 64, Loss: 0.004729210034435059
Iteration 65, Loss: 0.0047269528611178615
Iteration 66, Loss: 0.004724802100292646
Iteration 67, Loss: 0.004722756476355513
Iteration 68, Loss: 0.004720831796234382
Iteration 69, Loss: 0.004718994768808002
Iteration 70, Loss: 0.004717215284135572
Iteration 71, Loss: 0.004715509659722503
Iteration 72, Loss: 0.00471390432133762
Iteration 73, Loss: 0.004712402059150173
Iteration 74, Loss: 0.004710958268997291
Iteration 75, Loss: 0.004709583232419611
Iteration 76, Loss: 0.004708258575171354
Iteration 77, Loss: 0.004706992465772902
Iteration 78, Loss: 0.004705801251192436
Iteration 79, Loss: 0.004704628404261668
Iteration 80, Loss: 0.0047035003297924635
Iteration 81, Loss: 0.004702322263942444
Iteration 82, Loss: 0.004701198854977947
Iteration 83, Loss: 0.0047001284236049936
Iteration 84, Loss: 0.004699119467540305
Iteration 85, Loss: 0.0046981558425945175
Iteration 86, Loss: 0.004697214560654439
Iteration 87, Loss: 0.0046963452089819535
Iteration 88, Loss: 0.004695480211631875
Iteration 89, Loss: 0.004694643838298743
Iteration 90, Loss: 0.00469382444131902
Iteration 91, Loss: 0.00469305119089668
Iteration 92, Loss: 0.004692269342766614
Iteration 93, Loss: 0.004691511944839865
Iteration 94, Loss: 0.00469077383241326
Iteration 95, Loss: 0.004690046092430971
Iteration 96, Loss: 0.004689339238542575
Iteration 97, Loss: 0.00468864489092769
Iteration 98, Loss: 0.004687954970844757
Iteration 99, Loss: 0.004687290648170006
Model saved successfully!

