Voltage Amplitude:  7  Volts
Voltage Frequency:  0.1  Hz
Phase Difference:  90.0  Degrees

        time            y(t)            v(t)          y(t+1)          v(t+1)         Voltage
    0.000000     0.000000000     0.000000000     0.006619971     0.715075471     7.000000000
    0.010000     0.006619971     0.715075471     0.013494363     0.661037244     6.999862000
    0.020000     0.013494363     0.661037244     0.019849015     0.611042382     6.999447000
    0.030000     0.019849015     0.611042382     0.025722887     0.564794908     6.998756000
    0.040000     0.025722887     0.564794908     0.031152008     0.522012009     6.997789000
    0.050000     0.031152008     0.522012009     0.036169685     0.482432198     6.996546000
    0.060000     0.036169685     0.482432198     0.040806712     0.445813704     6.995026000
    0.070000     0.040806712     0.445813704     0.045091558     0.411932993     6.993231000
    0.080000     0.045091558     0.411932993     0.049050546     0.380583392     6.991159000
    0.090000     0.049050546     0.380583392     0.052708007     0.351573818     6.988811000
    0.100000     0.052708007     0.351573818     0.056086439     0.324727606     6.986187000
    0.110000     0.056086439     0.324727606     0.059206640     0.299881418     6.983288000
    0.120000     0.059206640     0.299881418     0.062087838     0.276884246     6.980112000
    0.130000     0.062087838     0.276884246     0.064747808     0.255596474     6.976661000
    0.140000     0.064747808     0.255596474     0.067202985     0.235889028     6.972935000
    0.150000     0.067202985     0.235889028     0.069468560     0.217642573     6.968934000
    0.160000     0.069468560     0.217642573     0.071558580     0.200746784     6.964657000
    0.170000     0.071558580     0.200746784     0.073486030     0.185099663     6.960106000
    0.180000     0.073486030     0.185099663     0.075262914     0.170606915     6.955279000
    0.190000     0.075262914     0.170606915     0.076900329     0.157181363     6.950178000
    0.200000     0.076900329     0.157181363     0.078408536     0.144742413     6.944803000
    0.210000     0.078408536     0.144742413     0.079797019     0.133215557     6.939153000
    0.220000     0.079797019     0.133215557     0.081074547     0.122531912     6.933230000
    0.230000     0.081074547     0.122531912     0.082249226     0.112627800     6.927033000
    0.240000     0.082249226     0.112627800     0.083328551     0.103444351     6.920562000
    0.250000     0.083328551     0.103444351     0.084319449     0.094927140     6.913818000
    0.260000     0.084319449     0.094927140     0.085228325     0.087025856     6.906802000
    0.270000     0.085228325     0.087025856     0.086061102     0.079693985     6.899512000
    0.280000     0.086061102     0.079693985     0.086823253     0.072888528     6.891950000
    0.290000     0.086823253     0.072888528     0.087519838     0.066569736     6.884116000
    0.300000     0.087519838     0.066569736     0.088155537     0.060700861     6.876011000
    0.310000     0.088155537     0.060700861     0.088734676     0.055247932     6.867634000
    0.320000     0.088734676     0.055247932     0.089261252     0.050179545     6.858985000
    0.330000     0.089261252     0.050179545     0.089738962     0.045466668     6.850066000
    0.340000     0.089738962     0.045466668     0.090171225     0.041082463     6.840877000
    0.350000     0.090171225     0.041082463     0.090561201     0.037002122     6.831417000
    0.360000     0.090561201     0.037002122     0.090911810     0.033202709     6.821688000
    0.370000     0.090911810     0.033202709     0.091225754     0.029663022     6.811690000
    0.380000     0.091225754     0.029663022     0.091505529     0.026363462     6.801422000
    0.390000     0.091505529     0.026363462     0.091753444     0.023285912     6.790886000
    0.400000     0.091753444     0.023285912     0.091971634     0.020413623     6.780082000
    0.410000     0.091971634     0.020413623     0.092162071     0.017731112     6.769010000
    0.420000     0.092162071     0.017731112     0.092326581     0.015224068     6.757671000
    0.430000     0.092326581     0.015224068     0.092466851     0.012879261     6.746066000
    0.440000     0.092466851     0.012879261     0.092584440     0.010684460     6.734194000
    0.450000     0.092584440     0.010684460     0.092680790     0.008628360     6.722056000
    0.460000     0.092680790     0.008628360     0.092757235     0.006700511     6.709653000
    0.470000     0.092757235     0.006700511     0.092815008     0.004891253     6.696984000
    0.480000     0.092815008     0.004891253     0.092855250     0.003191656     6.684052000
    0.490000     0.092855250     0.003191656     0.092879015     0.001593466     6.670855000
    0.500000     0.092879015     0.001593466     0.092887277     0.000089054     6.657396000
    0.510000     0.092887277     0.000089054     0.092901988     0.001333561     6.643673000
    0.520000     0.092901988     0.001333561     0.092917381     0.001707857     6.629688000
    0.530000     0.092917381     0.001707857     0.092932185     0.002388355     6.615442000
    0.540000     0.092932185     0.002388355     0.092946288     0.003328601     6.600934000
    0.550000     0.092946288     0.003328601     0.092958263     0.001454468     6.586165000
    0.560000     0.092958263     0.001454468     0.092969116    -0.000134710     6.571137000
    0.570000     0.092969116    -0.000134710     0.092978572    -0.001203556     6.555849000
    0.580000     0.092978572    -0.001203556     0.092987369     0.001588708     6.540303000
    0.590000     0.092987369     0.001588708     0.092992278    -0.001546239     6.524498000
    0.600000     0.092992278    -0.001546239     0.092996315    -0.000765073     6.508435000
    0.610000     0.092996315    -0.000765073     0.092999284    -0.000509484     6.492116000
    0.620000     0.092999284    -0.000509484     0.093003347     0.000851077     6.475540000
    0.630000     0.093003347     0.000851077     0.092999017     0.000767634     6.458709000
    0.640000     0.092999017     0.000767634     0.092995534    -0.002406589     6.441623000
    0.650000     0.092995534    -0.002406589     0.092991256    -0.002485995     6.424282000
    0.660000     0.092991256    -0.002485995     0.092987012    -0.000731495     6.406688000
    0.670000     0.092987012    -0.000731495     0.092977426    -0.000113044     6.388841000
    0.680000     0.092977426    -0.000113044     0.092968287    -0.002757705     6.370742000
    0.690000     0.092968287    -0.002757705     0.092956526    -0.000996431     6.352391000
    0.700000     0.092956526    -0.000996431     0.092943652    -0.001113318     6.333789000
    0.710000     0.092943652    -0.001113318     0.092929300    -0.002867257     6.314938000
    0.720000     0.092929300    -0.002867257     0.092913341    -0.001838807     6.295837000
    0.730000     0.092913341    -0.001838807     0.092901970    -0.000696758     6.276487000
    0.740000     0.092901970    -0.000696758     0.092885223    -0.002635811     6.256890000
    0.750000     0.092885223    -0.002635811     0.092849449    -0.004480898     6.237046000
    0.760000     0.092849449    -0.004480898     0.092795804    -0.006212573     6.216955000
    0.770000     0.092795804    -0.006212573     0.092725379    -0.007839349     6.196619000
    0.780000     0.092725379    -0.007839349     0.092639183    -0.009369098     6.176039000
    0.790000     0.092639183    -0.009369098     0.092538148    -0.010809097     6.155214000
    0.800000     0.092538148    -0.010809097     0.092423138    -0.012166069     6.134147000
    0.810000     0.092423138    -0.012166069     0.092294951    -0.013446231     6.112837000
    0.820000     0.092294951    -0.013446231     0.092154325    -0.014655331     6.091286000
