Voltage Amplitude:  7  Volts
Voltage Frequency:  1  Hz
Phase Difference:  270.0  Degrees

        time            y(t)            v(t)          y(t+1)          v(t+1)         Voltage
    0.000000     0.000000000     0.000000000    -0.000198207    -0.420177201    -7.000000000
    0.001000    -0.000198207    -0.420177201    -0.000751677    -0.644681387    -6.999862000
    0.002000    -0.000751677    -0.644681387    -0.001439806    -0.716857026    -6.999447000
    0.003000    -0.001439806    -0.716857026    -0.002169159    -0.736968057    -6.998756000
    0.004000    -0.002169159    -0.736968057    -0.002908288    -0.739705562    -6.997789000
    0.005000    -0.002908288    -0.739705562    -0.003646715    -0.736659478    -6.996546000
    0.006000    -0.003646715    -0.736659478    -0.004380953    -0.731695836    -6.995026000
    0.007000    -0.004380953    -0.731695836    -0.005109853    -0.726104053    -6.993231000
    0.008000    -0.005109853    -0.726104053    -0.005833041    -0.720314126    -6.991159000
    0.009000    -0.005833041    -0.720314126    -0.006550405    -0.714469397    -6.988811000
    0.010000    -0.006550405    -0.714469397    -0.007261919    -0.708617599    -6.986187000
    0.011000    -0.007261919    -0.708617599    -0.007967585    -0.702774578    -6.983288000
    0.012000    -0.007967585    -0.702774578    -0.008667415    -0.696945545    -6.980112000
    0.013000    -0.008667415    -0.696945545    -0.009361423    -0.691132162    -6.976661000
    0.014000    -0.009361423    -0.691132162    -0.010049626    -0.685334911    -6.972935000
    0.015000    -0.010049626    -0.685334911    -0.010732040    -0.679553882    -6.968934000
    0.016000    -0.010732040    -0.679553882    -0.011408682    -0.673789033    -6.964657000
    0.017000    -0.011408682    -0.673789033    -0.012079566    -0.668040280    -6.960106000
    0.018000    -0.012079566    -0.668040280    -0.012744710    -0.662307526    -6.955279000
    0.019000    -0.012744710    -0.662307526    -0.013404129    -0.656590670    -6.950178000
    0.020000    -0.013404129    -0.656590670    -0.014057840    -0.650889612    -6.944803000
    0.021000    -0.014057840    -0.650889612    -0.014705857    -0.645204252    -6.939153000
    0.022000    -0.014705857    -0.645204252    -0.015348197    -0.639534490    -6.933230000
    0.023000    -0.015348197    -0.639534490    -0.015984874    -0.633880229    -6.927033000
    0.024000    -0.015984874    -0.633880229    -0.016615906    -0.628241374    -6.920562000
    0.025000    -0.016615906    -0.628241374    -0.017241306    -0.622617829    -6.913818000
    0.026000    -0.017241306    -0.622617829    -0.017861090    -0.617009500    -6.906802000
    0.027000    -0.017861090    -0.617009500    -0.018475274    -0.611416297    -6.899512000
    0.028000    -0.018475274    -0.611416297    -0.019083872    -0.605838127    -6.891950000
    0.029000    -0.019083872    -0.605838127    -0.019686900    -0.600274901    -6.884116000
    0.030000    -0.019686900    -0.600274901    -0.020284371    -0.594726532    -6.876011000
    0.031000    -0.020284371    -0.594726532    -0.020876302    -0.589192931    -6.867634000
    0.032000    -0.020876302    -0.589192931    -0.021462707    -0.583674014    -6.858985000
