Voltage Amplitude:  1  Volts
Voltage Frequency:  0.1  Hz
Phase Difference:  270.0  Degrees

        time            y(t)            v(t)          y(t+1)          v(t+1)         Voltage
    0.000000     0.000000000     0.000000000    -0.000846377    -0.091487814    -1.000000000
    0.010000    -0.000846377    -0.091487814    -0.001726408    -0.084673674    -1.000000000
    0.020000    -0.001726408    -0.084673674    -0.002540885    -0.078366240    -1.000000000
    0.030000    -0.002540885    -0.078366240    -0.003294691    -0.072528651    -1.000000000
    0.040000    -0.003294691    -0.072528651    -0.003992346    -0.067125910    -1.000000000
    0.050000    -0.003992346    -0.067125910    -0.004638031    -0.062125624    -1.000000000
    0.060000    -0.004638031    -0.062125624    -0.005235618    -0.057497814    -1.000000000
    0.070000    -0.005235618    -0.057497814    -0.005788690    -0.053214734    -1.000000000
    0.080000    -0.005788690    -0.053214734    -0.006300564    -0.049250705    -1.000000000
    0.090000    -0.006300564    -0.049250705    -0.006774307    -0.045581960    -1.000000000
    0.100000    -0.006774307    -0.045581960    -0.007212760    -0.042186504    -1.000000000
    0.110000    -0.007212760    -0.042186504    -0.007618553    -0.039043980    -1.000000000
    0.120000    -0.007618553    -0.039043980    -0.007994118    -0.036135545    -1.000000000
    0.130000    -0.007994118    -0.036135545    -0.008341706    -0.033443763    -1.000000000
    0.140000    -0.008341706    -0.033443763    -0.008663402    -0.030952495    -1.000000000
    0.150000    -0.008663402    -0.030952495    -0.008961135    -0.028646804    -1.000000000
    0.160000    -0.008961135    -0.028646804    -0.009236689    -0.026512867    -1.000000000
    0.170000    -0.009236689    -0.026512867    -0.009491716    -0.024537890    -1.000000000
    0.180000    -0.009491716    -0.024537890    -0.009727747    -0.022710031    -1.000000000
    0.190000    -0.009727747    -0.022710031    -0.009946195    -0.021018331    -1.000000000
    0.200000    -0.009946195    -0.021018331    -0.010148370    -0.019452648    -1.000000000
    0.210000    -0.010148370    -0.019452648    -0.010335486    -0.018003595    -1.000000000
    0.220000    -0.010335486    -0.018003595    -0.010508662    -0.016662483    -1.000000000
    0.230000    -0.010508662    -0.016662483    -0.010668939    -0.015421273    -1.000000000
    0.240000    -0.010668939    -0.015421273    -0.010817277    -0.014272522    -1.000000000
    0.250000    -0.010817277    -0.014272522    -0.010954564    -0.013209343    -1.000000000
    0.260000    -0.010954564    -0.013209343    -0.011081625    -0.012225361    -1.000000000
    0.270000    -0.011081625    -0.012225361    -0.011199221    -0.011314678    -1.000000000
    0.280000    -0.011199221    -0.011314678    -0.011308057    -0.010471832    -1.000000000
    0.290000    -0.011308057    -0.010471832    -0.011408786    -0.009691771    -1.000000000
    0.300000    -0.011408786    -0.009691771    -0.011502011    -0.008969818    -1.000000000
    0.310000    -0.011502011    -0.008969818    -0.011588292    -0.008301645    -1.000000000
    0.320000    -0.011588292    -0.008301645    -0.011668145    -0.007683244    -1.000000000
    0.330000    -0.011668145    -0.007683244    -0.011742051    -0.007110909    -1.000000000
    0.340000    -0.011742051    -0.007110909    -0.011810451    -0.006581207    -1.000000000
    0.350000    -0.011810451    -0.006581207    -0.011873755    -0.006090964    -1.000000000
    0.360000    -0.011873755    -0.006090964    -0.011932344    -0.005637240    -1.000000000
    0.370000    -0.011932344    -0.005637240    -0.011986569    -0.005217315    -1.000000000
    0.380000    -0.011986569    -0.005217315    -0.012036755    -0.004828670    -1.000000000
    0.390000    -0.012036755    -0.004828670    -0.012083202    -0.004468976    -1.000000000
    0.400000    -0.012083202    -0.004468976    -0.012126189    -0.004136075    -1.000000000
    0.410000    -0.012126189    -0.004136075    -0.012165974    -0.003827974    -1.000000000
    0.420000    -0.012165974    -0.003827974    -0.012202795    -0.003542823    -1.000000000
    0.430000    -0.012202795    -0.003542823    -0.012236873    -0.003278913    -1.000000000
    0.440000    -0.012236873    -0.003278913    -0.012268413    -0.003034662    -1.000000000
    0.450000    -0.012268413    -0.003034662    -0.012297604    -0.002808606    -1.000000000
    0.460000    -0.012297604    -0.002808606    -0.012324620    -0.002599389    -1.000000000
    0.470000    -0.012324620    -0.002599389    -0.012349623    -0.002405757    -1.000000000
    0.480000    -0.012349623    -0.002405757    -0.012372764    -0.002226549    -1.000000000
    0.490000    -0.012372764    -0.002226549    -0.012394182    -0.002060690    -1.000000000
    0.500000    -0.012394182    -0.002060690    -0.012414003    -0.001907187    -1.000000000
    0.510000    -0.012414003    -0.001907187    -0.012432349    -0.001765118    -1.000000000
    0.520000    -0.012432349    -0.001765118    -0.012449327    -0.001633632    -1.000000000
    0.530000    -0.012449327    -0.001633632    -0.012465041    -0.001511940    -1.000000000
    0.540000    -0.012465041    -0.001511940    -0.012479585    -0.001399314    -1.000000000
    0.550000    -0.012479585    -0.001399314    -0.012493045    -0.001295077    -1.000000000
    0.560000    -0.012493045    -0.001295077    -0.012505502    -0.001198605    -1.000000000
    0.570000    -0.012505502    -0.001198605    -0.012517031    -0.001109319    -1.000000000
    0.580000    -0.012517031    -0.001109319    -0.012527702    -0.001026684    -1.000000000
    0.590000    -0.012527702    -0.001026684    -0.012537578    -0.000950205    -1.000000000
    0.600000    -0.012537578    -0.000950205    -0.012546718    -0.000879423    -1.000000000
    0.610000    -0.012546718    -0.000879423    -0.012555177    -0.000813914    -1.000000000
    0.620000    -0.012555177    -0.000813914    -0.012563006    -0.000753284    -1.000000000
    0.630000    -0.012563006    -0.000753284    -0.012570252    -0.000697171    -1.000000000
    0.640000    -0.012570252    -0.000697171    -0.012576958    -0.000645238    -1.000000000
    0.650000    -0.012576958    -0.000645238    -0.012583164    -0.000597173    -1.000000000
    0.660000    -0.012583164    -0.000597173    -0.012588909    -0.000552689    -1.000000000
    0.670000    -0.012588909    -0.000552689    -0.012594225    -0.000511518    -1.000000000
    0.680000    -0.012594225    -0.000511518    -0.012599145    -0.000473415    -1.000000000
    0.690000    -0.012599145    -0.000473415    -0.012603699    -0.000438149    -1.000000000
    0.700000    -0.012603699    -0.000438149    -0.012607914    -0.000405511    -1.000000000
    0.710000    -0.012607914    -0.000405511    -0.012611814    -0.000375304    -1.000000000
    0.720000    -0.012611814    -0.000375304    -0.012615424    -0.000347347    -1.000000000
    0.730000    -0.012615424    -0.000347347    -0.012618765    -0.000321473    -1.000000000
    0.740000    -0.012618765    -0.000321473    -0.012621858    -0.000297526    -1.000000000
    0.750000    -0.012621858    -0.000297526    -0.012624720    -0.000275363    -1.000000000
    0.760000    -0.012624720    -0.000275363    -0.012627368    -0.000254850    -1.000000000
    0.770000    -0.012627368    -0.000254850    -0.012629820    -0.000235866    -1.000000000
    0.780000    -0.012629820    -0.000235866    -0.012632089    -0.000218296    -1.000000000
    0.790000    -0.012632089    -0.000218296    -0.012634188    -0.000202035    -1.000000000
    0.800000    -0.012634188    -0.000202035    -0.012636132    -0.000186985    -1.000000000
    0.810000    -0.012636132    -0.000186985    -0.012637930    -0.000173056    -1.000000000
    0.820000    -0.012637930    -0.000173056    -0.012639595    -0.000160165    -1.000000000
    0.830000    -0.012639595    -0.000160165    -0.012641136    -0.000148234    -1.000000000
    0.840000    -0.012641136    -0.000148234    -0.012642561    -0.000137192    -1.000000000
    0.850000    -0.012642561    -0.000137192    -0.012643881    -0.000126973    -1.000000000
    0.860000    -0.012643881    -0.000126973    -0.012645102    -0.000117514    -1.000000000
    0.870000    -0.012645102    -0.000117514    -0.012646233    -0.000108760    -1.000000000
    0.880000    -0.012646233    -0.000108760    -0.012647279    -0.000100659    -1.000000000
    0.890000    -0.012647279    -0.000100659    -0.012648247    -0.000093160    -1.000000000
    0.900000    -0.012648247    -0.000093160    -0.012649143    -0.000086221    -1.000000000
    0.910000    -0.012649143    -0.000086221    -0.012649973    -0.000079798    -1.000000000
    0.920000    -0.012649973    -0.000079798    -0.012650740    -0.000073854    -1.000000000
    0.930000    -0.012650740    -0.000073854    -0.012651451    -0.000068352    -1.000000000
    0.940000    -0.012651451    -0.000068352    -0.012652108    -0.000063261    -1.000000000
    0.950000    -0.012652108    -0.000063261    -0.012652717    -0.000058548    -1.000000000
    0.960000    -0.012652717    -0.000058548    -0.012653280    -0.000054187    -1.000000000
    0.970000    -0.012653280    -0.000054187    -0.012653801    -0.000050151    -1.000000000
    0.980000    -0.012653801    -0.000050151    -0.012654284    -0.000046415    -1.000000000
    0.990000    -0.012654284    -0.000046415    -0.012654730    -0.000042957    -1.000000000
    1.000000    -0.012654730    -0.000042957    -0.012655143    -0.000039757    -1.000000000
    1.010000    -0.012655143    -0.000039757    -0.012655526    -0.000036796    -1.000000000
    1.020000    -0.012655526    -0.000036796    -0.012655880    -0.000034055    -1.000000000
    1.030000    -0.012655880    -0.000034055    -0.012656207    -0.000031518    -1.000000000
    1.040000    -0.012656207    -0.000031518    -0.012656510    -0.000029170    -1.000000000
    1.050000    -0.012656510    -0.000029170    -0.012656791    -0.000026997    -1.000000000
    1.060000    -0.012656791    -0.000026997    -0.012657051    -0.000024986    -1.000000000
    1.070000    -0.012657051    -0.000024986    -0.012657291    -0.000023125    -1.000000000
    1.080000    -0.012657291    -0.000023125    -0.012657513    -0.000021402    -1.000000000
    1.090000    -0.012657513    -0.000021402    -0.012657719    -0.000019808    -1.000000000
    1.100000    -0.012657719    -0.000019808    -0.012657910    -0.000018332    -1.000000000
